ID,Type,Name,Latitude,Longitude,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,addr:village,alt_name,amenity,barrier,beds,building,building:colour,building:levels,building:material,check_date,contact:email,contact:facebook,contact:phone,contact:website,description,email,emergency,fax,fee,fhrs:authority,fhrs:confidence_management,fhrs:hygiene,fhrs:id,fhrs:inspectiondate,fhrs:local_authority_id,fhrs:rating,fhrs:structural,fixme,gnis:feature_id,healthcare,healthcare:for,healthcare:speciality,historic:operator,image,internet_access,internet_access:fee,internet_access:ssid,landuse,level,loc_name,long_name,mobile,name:ar,name:en,name:fr,name:uk,nohousenumber,not:addr:postcode,note,number,official_name,old_name,opening_hours,operator,operator:type,operator:website,operator:wikidata,payment:cash,payment:credit_cards,payment:debit_cards,phone,public,ref:GB:cqc_location,ref:GB:nhs_ods,ref:GB:uprn,reg_name,roof:colour,roof:levels,roof:shape,short_name,source,source:addr,source:addr:postcode,source:postcode,start_date,toilets:wheelchair,type,urgent_care,was:name,was:wikidata,was:wikipedia,website,wheelchair,wikidata,wikimedia_commons,wikipedia
254005151,node,Priory Hospital,51.6320636,-0.1183042,London,,,,Grovelands House,,,N14 6RA,The Bourne,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289563831,node,Bridge Lane Health Centre,51.4732684,-0.1663173,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 20 3538 0882,yes,,,,,,,,,,,,,,,,,,,,https://bridgelanegp.co.uk/,,,,
296563324,node,British Home & Hospital for Incurables,51.423089,-0.1070682,London,GB,,,,,,SW16 3JB,Crown Lane,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444635673,node,Chelsfield Park Hospital,51.3582569,0.1316749,Orpington,GB,Kent,,,,Chelsfield,BR6 7RG,Bucks Cross Road,,,,hospital,,,,,,,,,,+44 1689 877855,https://www.bmihealthcare.co.uk/hospitals/bmi-chelsfield-park-hospital,,,,,,,,,357692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMI Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637882835,node,Sloane Hospital,51.4082042,-0.0045395,Beckenham,,,,Sloane Hospital,125,,BR3 5HS,Albermarle Road,,,,hospital,,,,,,,,,,,,"private hospital, specialists/consultants, MRI scans, x-rays",,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-21:30,,,,,,,,+44 20 8466 6911,,,,,,,,,,,,,,,,,,,,,https://www.bmihealthcare.co.uk/sloane,,,,
1131534975,node,Queen Mary's Childrens' Hospital,51.3797984,-0.1848418,Carshalton,,,,,,,SM5 1AA,Wrythe Lane,,,,hospital,,,,,,,,,,,,,est-tr.PALS@nhs.net,,+44 20 8641 4546,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 20 8296 2000,,,,,,,,,,,,,,,,,,,,,https://www.epsom-sthelier.nhs.uk/,,,,
1971677516,node,Chapel Orchard Day Surgery,51.4020487,-0.1715368,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778453137,node,The Portland Hospital,51.5224709,-0.1435858,London,,,,,212,,,Great Portland Street,,,,hospital,,,,,,,2026-01-27,,,,,,,,,,,,,,,,,,,,hospital,,gynaecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,
6295862569,node,North London Hospice Winchmore Hill,51.6249907,-0.0925094,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995777570,node,Sexual Health Clinic,51.3911811,-0.1123103,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
